iter	Logloss
0	0.6832277217
1	0.674688179
2	0.6667498402
3	0.6561028963
4	0.6463952058
5	0.6397459272
6	0.6308559393
7	0.6247811795
8	0.620072871
9	0.6154979739
10	0.6105832024
11	0.6033240165
12	0.5966490226
13	0.5916966638
14	0.5858541498
15	0.5804430382
16	0.5763859555
17	0.5725839272
18	0.5699656979
19	0.5658489268
20	0.5591391502
21	0.5545330211
22	0.5523372019
23	0.5485388678
24	0.5449563651
25	0.5422099496
26	0.5384107402
27	0.5359698524
28	0.5335811281
29	0.5310724313
30	0.5288876406
31	0.525811782
32	0.5222860523
33	0.5194917968
34	0.5162907511
35	0.5137119553
36	0.5111533178
37	0.5087306147
38	0.5064510505
39	0.5008250719
40	0.4963876737
41	0.4943306895
42	0.4930625186
43	0.4912143493
44	0.4894225802
45	0.4879751934
46	0.4860313979
47	0.4841585349
48	0.4824682576
49	0.4811708347
50	0.4789919777
51	0.4764835993
52	0.4750298271
53	0.4727920605
54	0.4713467178
55	0.4703962689
56	0.4666175099
57	0.4652352692
58	0.4635063819
59	0.4622242935
60	0.4606552351
61	0.4588153426
62	0.4562147891
63	0.4542623361
64	0.45195721
65	0.4485750769
66	0.4474412016
67	0.4459344651
68	0.4450626062
69	0.4438623388
70	0.4417401182
71	0.4410626511
72	0.4404085327
73	0.4381643283
74	0.4370618151
75	0.4345701069
76	0.4330506875
77	0.4324632045
78	0.431473667
79	0.4302317777
80	0.4291283742
81	0.4277143688
82	0.4265232284
83	0.425574176
84	0.425028309
85	0.4211698637
86	0.4201803425
87	0.4191580592
88	0.4171089579
89	0.4164632902
90	0.4156583177
91	0.4147663408
92	0.4138088783
93	0.4130671721
94	0.4123418402
95	0.4117003503
96	0.4093237524
97	0.4074873721
98	0.4066561099
99	0.4057097184
100	0.4044654434
101	0.4035743111
102	0.403006686
103	0.4025053066
104	0.4018946146
105	0.4012885063
106	0.4005883194
107	0.3994795271
108	0.3988968153
109	0.398253079
110	0.3976986374
111	0.3966938538
112	0.3959323132
113	0.395042314
114	0.3926547439
115	0.3920803104
116	0.3916000487
117	0.3906270438
118	0.389885417
119	0.3892726033
120	0.3888745895
121	0.3880945081
122	0.3873807614
123	0.386750869
124	0.3863050397
125	0.3830866205
126	0.3818645519
127	0.3810814981
128	0.3803363508
129	0.3797488936
130	0.3793104389
131	0.3786505518
132	0.3779318483
133	0.3775334857
134	0.3772776548
135	0.376743791
136	0.3761501339
137	0.3751512107
138	0.374635286
139	0.3742666891
140	0.3736170842
